,job_titles,company_names,experiences,locations,descriptions_url,skills_sets
149,CRM Business Data Analyst ,harappa education,2 - 5 yrs,Delhi,https://www.timesjobs.com/job-detail/crm-business-data-analyst-harappa-education-delhi-2-to-5-yrs-jobid-XuA1tC6hDfxzpSvf__PLUS__uAgZw==&source=srp,"['presentation skills', 'effective communication', ' Business Data']"
150,Market Data Analyst ,ion trading india pvt. ltd.,0 - 1 yrs,Gurgaon,https://www.timesjobs.com/job-detail/market-data-analyst-ion-trading-india-pvt-ltd-gurgaon-0-to-1-yrs-jobid-CvAhkeimHjhzpSvf__PLUS__uAgZw==&source=srp,"['software development life cycle', 'computer skills', 'uat', 'acceptance testing', 'sdlc']"
151,"Data Analyst ,ECM ",ion trading india pvt. ltd.,0 - 3 yrs,Hong Kong,https://www.timesjobs.com/job-detail/data-analyst-ecm-ion-trading-india-pvt-ltd-hong-kong-0-to-3-yrs-jobid-ldnkhKVtOClzpSvf__PLUS__uAgZw==&source=srp,"['historical database', 'database inclusion', 'desktop research']"
152,Finance Data Analyst ,Irdeto,0 - 3 yrs,Netherlands,https://www.timesjobs.com/job-detail/finance-data-analyst-irdeto-netherlands-0-to-3-yrs-jobid-Rn__PLUS__qTW2JyflzpSvf__PLUS__uAgZw==&source=srp,"['reports', 'corporate reporting', 'legal', 'tax', 'management reporting', 'hfm', 'financial reporting', 'finance']"
153,Senior Data Analyst ,Epsilon,5 - 7 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/senior-data-analyst-epsilon-bengaluru-bangalore-5-to-7-yrs-jobid-SBV2p6TIXmJzpSvf__PLUS__uAgZw==&source=srp,"['sql', 'crm', 'sas', 'system management', 'problem solving', 'team player', 'identity management', 'written communication', 'sas access', 'unix']"
154,Senior Data Analyst ,PUBLICIS GROUPE,5 - 7 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/senior-data-analyst-publicis-groupe-bengaluru-bangalore-5-to-7-yrs-jobid-UsgnL9IcJGBzpSvf__PLUS__uAgZw==&source=srp,"['big data', 'python', 'system management', 'unix', 'sql', 'hadoop', 'crm', 'sas', 'problem solving', 'team player', 'identity management', 'written communication', 'sas access']"
155,Senior Data Analyst ,Epsilon,5 - 7 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/senior-data-analyst-epsilon-bengaluru-bangalore-5-to-7-yrs-jobid-XZp2gMvaL8xzpSvf__PLUS__uAgZw==&source=srp,"['big data', 'python', 'system management', 'unix', 'sql', 'hadoop', 'crm', 'sas', 'problem solving', 'team player', 'identity management', 'written communication', 'sas access']"
156,Senior Data Analyst ,Rapido,1 - 4 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/senior-data-analyst-rapido-bengaluru-bangalore-1-to-4-yrs-jobid-7OFBqbxwP0RzpSvf__PLUS__uAgZw==&source=srp,"['dashboards', 'sql', 'data scientist', 'data visualization', 'data analytics', 'data analysis', 'tableau', 'data cleaning']"
157,Lead Data Analyst ,PUBLICIS GROUPE,5 - 9 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/lead-data-analyst-publicis-groupe-bengaluru-bangalore-5-to-9-yrs-jobid-Miw853__SLASH__Zk8FzpSvf__PLUS__uAgZw==&source=srp,"['sql', 'hadoop', 'big data', 'crm', 'python', 'sas', 'system management', 'problem solving', 'team player', 'identity management', 'written communication', 'sas access']"
158,Lead Data Analyst ,Epsilon,5 - 9 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/lead-data-analyst-epsilon-bengaluru-bangalore-5-to-9-yrs-jobid-pLgIDWGnkkRzpSvf__PLUS__uAgZw==&source=srp,"['sql', 'hadoop', 'big data', 'crm', 'python', 'sas', 'system management', 'problem solving', 'team player', 'identity management', 'written communication', 'sas access']"
